,NAME,BIO_LINK,BIRTH-DEATH,POSITION,PARTY,STATE,SESSION,DEGREE,SCHOOL,GRAD_YEAR,SCHOOL_LOC
12755,"LUETKEMEYER, Blaine",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000569,1952- ,Representative,Republican,MO,114(2015-2016),B.A.,Lincoln University,1974," Jefferson City, Mo."
12756,"LUJÁN, Ben Ray",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000570,1972- ,Representative,Democrat,NM,114(2015-2016),B.B.A.,New Mexico Highlands University,2007," Las Vegas, N.Mex."
12757,"LUJAN GRISHAM, Michelle",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000580,1959- ,Representative,Democrat,NM,114(2015-2016),B.U.S.,University of New Mexico,1981," Albuquerque, N.Mex."
12758,"LUJAN GRISHAM, Michelle",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000580,1959- ,Representative,Democrat,NM,114(2015-2016),J.D.,University of New Mexico,1987,None
12759,"LUMMIS, Cynthia M.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000571,1954- ,Representative,Republican,WY,114(2015-2016),B.S.,University of Wyoming,1976," Laramie, Wyo."
12760,"LUMMIS, Cynthia M.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000571,1954- ,Representative,Republican,WY,114(2015-2016),B.A.,University of Wyoming,1978,None
12761,"LUMMIS, Cynthia M.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000571,1954- ,Representative,Republican,WY,114(2015-2016),J.D.,University of Wyoming College of Law,1985," Laramie, Wyo."
12762,"LYNCH, Stephen F.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000562,1955- ,Representative,Democrat,MA,114(2015-2016),B.S.,Wentworth Institute,1988," Boston, Mass."
12763,"LYNCH, Stephen F.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000562,1955- ,Representative,Democrat,MA,114(2015-2016),J.D.,Boston College,1991," Chestnut Hill, Mass."
12764,"LYNCH, Stephen F.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000562,1955- ,Representative,Democrat,MA,114(2015-2016),M.A.,Harvard University,1998," Cambridge, Mass."
12765,"MacARTHUR, Thomas Charles",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001193,1960- ,Representative,Republican,NJ,114(2015-2016),B.A.,Hofstra University,1982," Hempstead, N.Y."
12766,"MALONEY, Carolyn Bosher",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000087,1946- ,Representative,Democrat,NY,114(2015-2016),B.A.,Greensboro College,1968," Greensboro, N.C."
12767,"MALONEY, Sean Patrick",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001185,1966- ,Representative,Democrat,NY,114(2015-2016),B.A.,University of Virginia,1988," Charlottesville, Va."
12768,"MALONEY, Sean Patrick",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001185,1966- ,Representative,Democrat,NY,114(2015-2016),J.D.,University of Virginia,1992," Charlottesville, Va."
12769,"MANCHIN, Joe, III",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001183,1947- ,Senator,Democrat,WV,114(2015-2016),B.A.,West Virginia University,1970,None
12770,"MARCHANT, Kenny",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001158,1951- ,Representative,Republican,TX,114(2015-2016),B.A.,South Nazarene University,1974," Bethany, Okla."
12771,"MARINO, Thomas A.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001179,1952- ,Representative,Republican,PA,114(2015-2016),A.A.,Williamsport Area Community College,1983," Williamsport, Pa."
